Pain Points,Revenue impact (w=25%),Margin impact (w=35%),Cash impact (w=15%),Customer impact (w=15%),Strategic impact (w=10%),Total weighted score,Action Priority
Low capture of aftermarket demand,2,1,4,2,1,1.83,LOW
Poor spare-parts availability and long lead times,2,2,3,1,2,1.98,LOW
Pricing and discounting that erode margin,3,3,5,1,4,3.07,MEDIUM
Fragmented data and weak commercial focus on service,2,3,2,3,5,2.78,MEDIUM
"Inefficient supply chain, inventory, and obsolescence management",4,2,5,4,2,3.21,MEDIUM
Underproductive field workforce and service operations,1,1,3,1,3,1.49,LOW
Slow and complex delivery‑to‑cash processes,2,1,4,2,3,2.03,MEDIUM
Organizational design that sidelines service,5,3,2,3,1,3.1,MEDIUM
Talent shortages and capability gaps in service,2,4,1,5,5,3.28,MEDIUM
Misaligned or weak customer value proposition,5,3,4,3,2,3.5,MEDIUM