Date,Quarter,Scenario,Gross Revenue,Net Margins,Net Revenue Retention,CAC Payback
Sat Dec 30 2028 19:00:00 GMT-0500 (Eastern Standard Time),2028-Q4,Base,4085733,0.1909,1.1025,12.6
Sat Dec 30 2028 19:00:00 GMT-0500 (Eastern Standard Time),2028-Q4,Optimistic,8533893,0.2486,1.2714,9.2
Sat Dec 30 2028 19:00:00 GMT-0500 (Eastern Standard Time),2028-Q4,Pessimistic,2008646,0.1113,0.9073,17.4
Fri Sep 29 2028 20:00:00 GMT-0400 (Eastern Daylight Time),2028-Q3,Base,3919545,0.189,1.1048,12.2
Fri Sep 29 2028 20:00:00 GMT-0400 (Eastern Daylight Time),2028-Q3,Optimistic,7901021,0.266,1.2764,8.3
Fri Sep 29 2028 20:00:00 GMT-0400 (Eastern Daylight Time),2028-Q3,Pessimistic,2002039,0.1107,0.906,17.2
Thu Jun 29 2028 20:00:00 GMT-0400 (Eastern Daylight Time),2028-Q2,Base,3782249,0.2162,1.1082,12.7
Thu Jun 29 2028 20:00:00 GMT-0400 (Eastern Daylight Time),2028-Q2,Optimistic,7288093,0.2505,1.2814,8.8
Thu Jun 29 2028 20:00:00 GMT-0400 (Eastern Daylight Time),2028-Q2,Pessimistic,1994659,0.1185,0.8836,18.3
Thu Mar 30 2028 20:00:00 GMT-0400 (Eastern Daylight Time),2028-Q1,Base,3635030,0.198,1.0884,12
Thu Mar 30 2028 20:00:00 GMT-0400 (Eastern Daylight Time),2028-Q1,Optimistic,6756993,0.2363,1.3388,9.1
Thu Mar 30 2028 20:00:00 GMT-0400 (Eastern Daylight Time),2028-Q1,Pessimistic,1996456,0.0813,0.9054,17.2
Thu Dec 30 2027 19:00:00 GMT-0500 (Eastern Standard Time),2027-Q4,Base,3503644,0.1976,1.0895,11.8
Thu Dec 30 2027 19:00:00 GMT-0500 (Eastern Standard Time),2027-Q4,Optimistic,6239144,0.2583,1.3254,9.1
Thu Dec 30 2027 19:00:00 GMT-0500 (Eastern Standard Time),2027-Q4,Pessimistic,1994660,0.0918,0.9057,18.1
Wed Sep 29 2027 20:00:00 GMT-0400 (Eastern Daylight Time),2027-Q3,Base,3379938,0.2191,1.1199,12.5
Wed Sep 29 2027 20:00:00 GMT-0400 (Eastern Daylight Time),2027-Q3,Optimistic,5794691,0.2338,1.2878,9.9
Wed Sep 29 2027 20:00:00 GMT-0400 (Eastern Daylight Time),2027-Q3,Pessimistic,1985922,0.0941,0.9018,19.4
Tue Jun 29 2027 20:00:00 GMT-0400 (Eastern Daylight Time),2027-Q2,Base,3258085,0.185,1.0815,11.9
Tue Jun 29 2027 20:00:00 GMT-0400 (Eastern Daylight Time),2027-Q2,Optimistic,5365455,0.2382,1.334,8.6
Tue Jun 29 2027 20:00:00 GMT-0400 (Eastern Daylight Time),2027-Q2,Pessimistic,1982156,0.0946,0.8892,19.6
Tue Mar 30 2027 20:00:00 GMT-0400 (Eastern Daylight Time),2027-Q1,Base,3143656,0.1952,1.1118,12
Tue Mar 30 2027 20:00:00 GMT-0400 (Eastern Daylight Time),2027-Q1,Optimistic,4990192,0.2377,1.3005,8.3
Tue Mar 30 2027 20:00:00 GMT-0400 (Eastern Daylight Time),2027-Q1,Pessimistic,1978792,0.0994,0.8835,17.7
Wed Dec 30 2026 19:00:00 GMT-0500 (Eastern Standard Time),2026-Q4,Base,3015787,0.214,1.0883,11.2
Wed Dec 30 2026 19:00:00 GMT-0500 (Eastern Standard Time),2026-Q4,Optimistic,4612860,0.2613,1.3118,9.6
Wed Dec 30 2026 19:00:00 GMT-0500 (Eastern Standard Time),2026-Q4,Pessimistic,1974645,0.0988,0.8926,19
Tue Sep 29 2026 20:00:00 GMT-0400 (Eastern Daylight Time),2026-Q3,Base,2904823,0.21,1.0818,11.4
Tue Sep 29 2026 20:00:00 GMT-0400 (Eastern Daylight Time),2026-Q3,Optimistic,4285850,0.2538,1.3217,9.1
Tue Sep 29 2026 20:00:00 GMT-0400 (Eastern Daylight Time),2026-Q3,Pessimistic,1983173,0.1128,0.8988,17.3
Mon Jun 29 2026 20:00:00 GMT-0400 (Eastern Daylight Time),2026-Q2,Base,2788273,0.1998,1.0875,11.5
Mon Jun 29 2026 20:00:00 GMT-0400 (Eastern Daylight Time),2026-Q2,Optimistic,3985725,0.249,1.2877,8.8
Mon Jun 29 2026 20:00:00 GMT-0400 (Eastern Daylight Time),2026-Q2,Pessimistic,1988941,0.1182,0.8838,18.2
Mon Mar 30 2026 20:00:00 GMT-0400 (Eastern Daylight Time),2026-Q1,Base,2690344,0.1811,1.0816,11.9
Mon Mar 30 2026 20:00:00 GMT-0400 (Eastern Daylight Time),2026-Q1,Optimistic,3690486,0.2542,1.348,8.6
Mon Mar 30 2026 20:00:00 GMT-0400 (Eastern Daylight Time),2026-Q1,Pessimistic,1982004,0.1049,0.9088,17.7
Tue Dec 30 2025 19:00:00 GMT-0500 (Eastern Standard Time),2025-Q4,Base,2596356,0.1932,1.0945,12.6
Tue Dec 30 2025 19:00:00 GMT-0500 (Eastern Standard Time),2025-Q4,Optimistic,3425681,0.2599,1.2629,9.1
Tue Dec 30 2025 19:00:00 GMT-0500 (Eastern Standard Time),2025-Q4,Pessimistic,1976470,0.0989,0.8975,19.3
Mon Sep 29 2025 20:00:00 GMT-0400 (Eastern Daylight Time),2025-Q3,Base,2500343,0.1905,1.1073,11.7
Mon Sep 29 2025 20:00:00 GMT-0400 (Eastern Daylight Time),2025-Q3,Optimistic,3183127,0.2656,1.2922,8.4
Mon Sep 29 2025 20:00:00 GMT-0400 (Eastern Daylight Time),2025-Q3,Pessimistic,1985604,0.114,0.9005,19.6
Sun Jun 29 2025 20:00:00 GMT-0400 (Eastern Daylight Time),2025-Q2,Base,2410434,0.2082,1.114,12.5
Sun Jun 29 2025 20:00:00 GMT-0400 (Eastern Daylight Time),2025-Q2,Optimistic,2948705,0.2689,1.3078,9
Sun Jun 29 2025 20:00:00 GMT-0400 (Eastern Daylight Time),2025-Q2,Pessimistic,1990979,0.1105,0.9192,18.5
Sun Mar 30 2025 20:00:00 GMT-0400 (Eastern Daylight Time),2025-Q1,Base,2316166,0.1963,1.12,11.2
Sun Mar 30 2025 20:00:00 GMT-0400 (Eastern Daylight Time),2025-Q1,Optimistic,2734079,0.2393,1.3221,8.3
Sun Mar 30 2025 20:00:00 GMT-0400 (Eastern Daylight Time),2025-Q1,Pessimistic,1986411,0.1103,0.8889,17.8
Mon Dec 30 2024 19:00:00 GMT-0500 (Eastern Standard Time),2024-Q4,Base,2232234,0.1883,1.1142,12.8
Mon Dec 30 2024 19:00:00 GMT-0500 (Eastern Standard Time),2024-Q4,Optimistic,2521051,0.2455,1.2703,9.1
Mon Dec 30 2024 19:00:00 GMT-0500 (Eastern Standard Time),2024-Q4,Pessimistic,1981655,0.0972,0.8893,19.3
Sun Sep 29 2024 20:00:00 GMT-0400 (Eastern Daylight Time),2024-Q3,Base,2154250,0.1882,1.1044,11.6
Sun Sep 29 2024 20:00:00 GMT-0400 (Eastern Daylight Time),2024-Q3,Optimistic,2337553,0.2498,1.3386,9.1
Sun Sep 29 2024 20:00:00 GMT-0400 (Eastern Daylight Time),2024-Q3,Pessimistic,1989813,0.0963,0.9147,19.6
Sat Jun 29 2024 20:00:00 GMT-0400 (Eastern Daylight Time),2024-Q2,Base,2070200,0.2136,1.1155,11.4
Sat Jun 29 2024 20:00:00 GMT-0400 (Eastern Daylight Time),2024-Q2,Optimistic,2160400,0.2473,1.3256,8.9
Sat Jun 29 2024 20:00:00 GMT-0400 (Eastern Daylight Time),2024-Q2,Pessimistic,1995400,0.1054,0.9051,17.1
Sat Mar 30 2024 20:00:00 GMT-0400 (Eastern Daylight Time),2024-Q1,Base,2000000,0.2067,1.0949,11.2
Sat Mar 30 2024 20:00:00 GMT-0400 (Eastern Daylight Time),2024-Q1,Optimistic,2000000,0.2389,1.345,8.7
Sat Mar 30 2024 20:00:00 GMT-0400 (Eastern Daylight Time),2024-Q1,Pessimistic,2000000,0.1196,0.9107,17.8