Quarter,Scenario,Gross_Revenue,Net_Margins,NRR,CAC_Payback,Scenario_Label,Year,Quarter_Num
2024-Q1,1,2000000,0.0475,0.8475,24.45,Pessimistic,2024,1
2024-Q1,2,2000000,0.1197,0.9944,19.8,Conservative,2024,1
2024-Q1,3,2000000,0.19,1.13,15,Base_Case,2024,1
2024-Q1,4,2000000,0.2679,1.2769,9.75,Optimistic,2024,1
2024-Q1,5,2000000,0.342,1.3899,5.1,Best_Case,2024,1
2024-Q2,1,2002520,0.0475,0.8475,24.45,Pessimistic,2024,2
2024-Q2,2,2048940,0.1197,0.9944,19.8,Conservative,2024,2
2024-Q2,3,2101140,0.19,1.13,15,Base_Case,2024,2
2024-Q2,4,2149440,0.2679,1.2769,9.75,Optimistic,2024,2
2024-Q2,5,2200220,0.342,1.3899,5.1,Best_Case,2024,2
2024-Q3,1,2005043.18,0.0475,0.8475,24.45,Pessimistic,2024,3
2024-Q3,2,2099077.56,0.1197,0.9944,19.8,Conservative,2024,3
2024-Q3,3,2207394.65,0.19,1.13,15,Base_Case,2024,3
2024-Q3,4,2310046.16,0.2679,1.2769,9.75,Optimistic,2024,3
2024-Q3,5,2420484.02,0.342,1.3899,5.1,Best_Case,2024,3
2024-Q4,1,2007569.53,0.0475,0.8475,24.45,Pessimistic,2024,4
2024-Q4,2,2150441.99,0.1197,0.9944,19.8,Conservative,2024,4
2024-Q4,3,2319022.6,0.19,1.13,15,Base_Case,2024,4
2024-Q4,4,2482652.81,0.2679,1.2769,9.75,Optimistic,2024,4
2024-Q4,5,2662798.68,0.342,1.3899,5.1,Best_Case,2024,4
2025-Q1,1,2010099.07,0.0475,0.8475,24.45,Pessimistic,2025,5
2025-Q1,2,2203063.31,0.1197,0.9944,19.8,Conservative,2025,5
2025-Q1,3,2436295.57,0.19,1.13,15,Base_Case,2025,5
2025-Q1,4,2668156.62,0.2679,1.2769,9.75,Optimistic,2025,5
2025-Q1,5,2929371.46,0.342,1.3899,5.1,Best_Case,2025,5
2025-Q2,1,2012631.79,0.0475,0.8475,24.45,Pessimistic,2025,6
2025-Q2,2,2256972.26,0.1197,0.9944,19.8,Conservative,2025,6
2025-Q2,3,2559499.04,0.19,1.13,15,Base_Case,2025,6
2025-Q2,4,2867521.29,0.2679,1.2769,9.75,Optimistic,2025,6
2025-Q2,5,3222630.83,0.342,1.3899,5.1,Best_Case,2025,6
2025-Q3,1,2015167.71,0.0475,0.8475,24.45,Pessimistic,2025,7
2025-Q3,2,2312200.38,0.1197,0.9944,19.8,Conservative,2025,7
2025-Q3,3,2688932.9,0.19,1.13,15,Base_Case,2025,7
2025-Q3,4,3081782.48,0.2679,1.2769,9.75,Optimistic,2025,7
2025-Q3,5,3545248.4,0.342,1.3899,5.1,Best_Case,2025,7
2025-Q4,1,2017706.82,0.0475,0.8475,24.45,Pessimistic,2025,8
2025-Q4,2,2368779.92,0.1197,0.9944,19.8,Conservative,2025,8
2025-Q4,3,2824912.24,0.19,1.13,15,Base_Case,2025,8
2025-Q4,4,3312053.26,0.2679,1.2769,9.75,Optimistic,2025,8
2025-Q4,5,3900163.22,0.342,1.3899,5.1,Best_Case,2025,8
2026-Q1,1,2020249.13,0.0475,0.8475,24.45,Pessimistic,2026,9
2026-Q1,2,2426743.96,0.1197,0.9944,19.8,Conservative,2026,9
2026-Q1,3,2967768.05,0.19,1.13,15,Base_Case,2026,9
2026-Q1,4,3559529.88,0.2679,1.2769,9.75,Optimistic,2026,9
2026-Q1,5,4290608.56,0.342,1.3899,5.1,Best_Case,2026,9
2026-Q2,1,2022794.64,0.0475,0.8475,24.45,Pessimistic,2026,10
2026-Q2,2,2486126.39,0.1197,0.9944,19.8,Conservative,2026,10
2026-Q2,3,3117848.08,0.19,1.13,15,Base_Case,2026,10
2026-Q2,4,3825497.96,0.2679,1.2769,9.75,Optimistic,2026,10
2026-Q2,5,4720141.39,0.342,1.3899,5.1,Best_Case,2026,10
2026-Q3,1,2025343.37,0.0475,0.8475,24.45,Pessimistic,2026,11
2026-Q3,2,2546961.9,0.1197,0.9944,19.8,Conservative,2026,11
2026-Q3,3,3275517.66,0.19,1.13,15,Base_Case,2026,11
2026-Q3,4,4111339.16,0.2679,1.2769,9.75,Optimistic,2026,11
2026-Q3,5,5192674.74,0.342,1.3899,5.1,Best_Case,2026,11
2026-Q4,1,2027895.3,0.0475,0.8475,24.45,Pessimistic,2026,12
2026-Q4,2,2609286.06,0.1197,0.9944,19.8,Conservative,2026,12
2026-Q4,3,3441160.59,0.19,1.13,15,Base_Case,2026,12
2026-Q4,4,4418538.43,0.2679,1.2769,9.75,Optimistic,2026,12
2026-Q4,5,5712513.41,0.342,1.3899,5.1,Best_Case,2026,12
2027-Q1,1,2030450.45,0.0475,0.8475,24.45,Pessimistic,2027,13
2027-Q1,2,2673135.29,0.1197,0.9944,19.8,Conservative,2027,13
2027-Q1,3,3615180.08,0.19,1.13,15,Base_Case,2027,13
2027-Q1,4,4748691.62,0.2679,1.2769,9.75,Optimistic,2027,13
2027-Q1,5,6284393.13,0.342,1.3899,5.1,Best_Case,2027,13
2027-Q2,1,2033008.81,0.0475,0.8475,24.45,Pessimistic,2027,14
2027-Q2,2,2738546.91,0.1197,0.9944,19.8,Conservative,2027,14
2027-Q2,3,3797999.74,0.19,1.13,15,Base_Case,2027,14
2027-Q2,4,5103513.85,0.2679,1.2769,9.75,Optimistic,2027,14
2027-Q2,5,6913523.72,0.342,1.3899,5.1,Best_Case,2027,14
2027-Q3,1,2035570.4,0.0475,0.8475,24.45,Pessimistic,2027,15
2027-Q3,2,2805559.15,0.1197,0.9944,19.8,Conservative,2027,15
2027-Q3,3,3990064.58,0.19,1.13,15,Base_Case,2027,15
2027-Q3,4,5484848.41,0.2679,1.2769,9.75,Optimistic,2027,15
2027-Q3,5,7605636.58,0.342,1.3899,5.1,Best_Case,2027,15
2027-Q4,1,2038135.22,0.0475,0.8475,24.45,Pessimistic,2027,16
2027-Q4,2,2874211.18,0.1197,0.9944,19.8,Conservative,2027,16
2027-Q4,3,4191842.15,0.19,1.13,15,Base_Case,2027,16
2027-Q4,4,5894676.28,0.2679,1.2769,9.75,Optimistic,2027,16
2027-Q4,5,8367036.86,0.342,1.3899,5.1,Best_Case,2027,16
2028-Q1,1,2040703.27,0.0475,0.8475,24.45,Pessimistic,2028,17
2028-Q1,2,2944543.13,0.1197,0.9944,19.8,Conservative,2028,17
2028-Q1,3,4403823.61,0.19,1.13,15,Base_Case,2028,17
2028-Q1,4,6335126.49,0.2679,1.2769,9.75,Optimistic,2028,17
2028-Q1,5,9204660.92,0.342,1.3899,5.1,Best_Case,2028,17
2028-Q2,1,2043274.56,0.0475,0.8475,24.45,Pessimistic,2028,18
2028-Q2,2,3016596.1,0.1197,0.9944,19.8,Conservative,2028,18
2028-Q2,3,4626524.97,0.19,1.13,15,Base_Case,2028,18
2028-Q2,4,6808487.15,0.2679,1.2769,9.75,Optimistic,2028,18
2028-Q2,5,10126139.52,0.342,1.3899,5.1,Best_Case,2028,18
2028-Q3,1,2045849.09,0.0475,0.8475,24.45,Pessimistic,2028,19
2028-Q3,2,3090412.21,0.1197,0.9944,19.8,Conservative,2028,19
2028-Q3,3,4860488.33,0.19,1.13,15,Base_Case,2028,19
2028-Q3,4,7317217.31,0.2679,1.2769,9.75,Optimistic,2028,19
2028-Q3,5,11139867.35,0.342,1.3899,5.1,Best_Case,2028,19
2028-Q4,1,2048426.86,0.0475,0.8475,24.45,Pessimistic,2028,20
2028-Q4,2,3166034.6,0.1197,0.9944,19.8,Conservative,2028,20
2028-Q4,3,5106283.23,0.19,1.13,15,Base_Case,2028,20
2028-Q4,4,7863959.78,0.2679,1.2769,9.75,Optimistic,2028,20
2028-Q4,5,12255079.47,0.342,1.3899,5.1,Best_Case,2028,20